num_auto,bw_plate_tx,bw_plate_rx,ocr_txt_tx,bits_equal,bit_errors,bits_tx,bits_rx
146,dataset_yolo/autos_bw/auto146.png,data-cable/autos_bw/auto146_rep02.png,FPV 437,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
146,dataset_yolo/autos_bw/auto146.png,data-cable/autos_bw/auto146_rep03.png,FPV 437,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
146,dataset_yolo/autos_bw/auto146.png,data-cable/autos_bw/auto146_rep04.png,FPV 437,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
147,dataset_yolo/autos_bw/auto147.png,data-cable/autos_bw/auto147_rep01.png,MBO 657,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
147,dataset_yolo/autos_bw/auto147.png,data-cable/autos_bw/auto147_rep02.png,MBO 657,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
147,dataset_yolo/autos_bw/auto147.png,data-cable/autos_bw/auto147_rep03.png,MBO 657,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
147,dataset_yolo/autos_bw/auto147.png,data-cable/autos_bw/auto147_rep04.png,MBO 657,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
148,dataset_yolo/autos_bw/auto148.png,data-cable/autos_bw/auto148_rep01.png,LNV 887],True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
148,dataset_yolo/autos_bw/auto148.png,data-cable/autos_bw/auto148_rep02.png,LNV 887],True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
148,dataset_yolo/autos_bw/auto148.png,data-cable/autos_bw/auto148_rep03.png,LNV 887],True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
148,dataset_yolo/autos_bw/auto148.png,data-cable/autos_bw/auto148_rep04.png,LNV 887],True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
148,dataset_yolo/autos_bw/auto148.png,data-cable/autos_bw/auto148_rep05.png,LNV 887],True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
148,dataset_yolo/autos_bw/auto148.png,data-cable/autos_bw/auto148_rep06.png,LNV 887],True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
148,dataset_yolo/autos_bw/auto148.png,data-cable/autos_bw/auto148_rep07.png,LNV 887],False,3,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
148,dataset_yolo/autos_bw/auto148.png,data-cable/autos_bw/auto148_rep08.png,LNV 887],False,18,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
149,dataset_yolo/autos_bw/auto149.png,data-cable/autos_bw/auto149_rep01.png,DZT 930,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
149,dataset_yolo/autos_bw/auto149.png,data-cable/autos_bw/auto149_rep02.png,DZT 930,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
149,dataset_yolo/autos_bw/auto149.png,data-cable/autos_bw/auto149_rep03.png,DZT 930,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
150,dataset_yolo/autos_bw/auto150.png,data-cable/autos_bw/auto150_rep01.png,BEJ 619,False,846,[0 0 0 ... 0 1 0],[0 0 0 ... 0 0 0]
150,dataset_yolo/autos_bw/auto150.png,data-cable/autos_bw/auto150_rep02.png,BEJ 619,True,0,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
150,dataset_yolo/autos_bw/auto150.png,data-cable/autos_bw/auto150_rep03.png,BEJ 619,False,8,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
150,dataset_yolo/autos_bw/auto150.png,data-cable/autos_bw/auto150_rep04.png,BEJ 619,True,0,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
150,dataset_yolo/autos_bw/auto150.png,data-cable/autos_bw/auto150_rep05.png,BEJ 619,True,0,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
150,dataset_yolo/autos_bw/auto150.png,data-cable/autos_bw/auto150_rep06.png,BEJ 619,True,0,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
150,dataset_yolo/autos_bw/auto150.png,data-cable/autos_bw/auto150_rep07.png,BEJ 619,True,0,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
150,dataset_yolo/autos_bw/auto150.png,data-cable/autos_bw/auto150_rep08.png,BEJ 619,True,0,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
150,dataset_yolo/autos_bw/auto150.png,data-cable/autos_bw/auto150_rep09.png,BEJ 619,True,0,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
150,dataset_yolo/autos_bw/auto150.png,data-cable/autos_bw/auto150_rep10.png,BEJ 619,True,0,[0 0 0 ... 0 1 0],[0 0 0 ... 0 1 0]
151,dataset_yolo/autos_bw/auto151.png,data-cable/autos_bw/auto151_rep01.png,PCN906,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
151,dataset_yolo/autos_bw/auto151.png,data-cable/autos_bw/auto151_rep02.png,PCN906,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
151,dataset_yolo/autos_bw/auto151.png,data-cable/autos_bw/auto151_rep03.png,PCN906,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
151,dataset_yolo/autos_bw/auto151.png,data-cable/autos_bw/auto151_rep04.png,PCN906,True,0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
152,dataset_yolo/autos_bw/auto152.png,data-cable/autos_bw/auto152_rep01.png,BOE:207,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
152,dataset_yolo/autos_bw/auto152.png,data-cable/autos_bw/auto152_rep02.png,BOE:207,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
152,dataset_yolo/autos_bw/auto152.png,data-cable/autos_bw/auto152_rep03.png,BOE:207,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
152,dataset_yolo/autos_bw/auto152.png,data-cable/autos_bw/auto152_rep04.png,BOE:207,True,0,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
152,dataset_yolo/autos_bw/auto152.png,data-cable/autos_bw/auto152_rep05.png,BOE:207,False,46,[0 0 0 ... 1 1 1],[0 0 0 ... 1 1 1]
153,dataset_yolo/autos_bw/auto153.png,data-cable/autos_bw/auto153_rep01.png,ELU 362,True,0,[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1]
153,dataset_yolo/autos_bw/auto153.png,data-cable/autos_bw/auto153_rep02.png,ELU 362,True,0,[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1]
153,dataset_yolo/autos_bw/auto153.png,data-cable/autos_bw/auto153_rep03.png,ELU 362,True,0,[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1]
153,dataset_yolo/autos_bw/auto153.png,data-cable/autos_bw/auto153_rep04.png,ELU 362,True,0,[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1]
154,dataset_yolo/autos_bw/auto154.png,data-cable/autos_bw/auto154_rep03.png,LLS 926,True,0,[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1]
154,dataset_yolo/autos_bw/auto154.png,data-cable/autos_bw/auto154_rep04.png,LLS 926,True,0,[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1]
154,dataset_yolo/autos_bw/auto154.png,data-cable/autos_bw/auto154_rep05.png,LLS 926,True,0,[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1]
154,dataset_yolo/autos_bw/auto154.png,data-cable/autos_bw/auto154_rep06.png,LLS 926,True,0,[1 1 1 ... 1 1 1],[1 1 1 ... 1 1 1]
146,dataset_yolo/autos_bw/auto146.png,data-cable/autos_bw/auto146_rep05.png,FPV 437,False,840,[0 0 0 ... 0 0 0],[1 1 1 ... 1 1 1]
155,dataset_yolo/autos_bw/auto155.png,data-cable/autos_bw/auto155_rep01.png,LMV 166,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
155,dataset_yolo/autos_bw/auto155.png,data-cable/autos_bw/auto155_rep02.png,LMV 166,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
155,dataset_yolo/autos_bw/auto155.png,data-cable/autos_bw/auto155_rep03.png,LMV 166,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
155,dataset_yolo/autos_bw/auto155.png,data-cable/autos_bw/auto155_rep04.png,LMV 166,False,5,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
147,dataset_yolo/autos_bw/auto147.png,data-cable/autos_bw/auto147_rep05.png,MBO 657,False,807,[0 0 0 ... 0 0 0],[1 1 1 ... 0 0 0]
156,dataset_yolo/autos_bw/auto156.png,data-cable/autos_bw/auto156_rep01.png,FYS-148,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
156,dataset_yolo/autos_bw/auto156.png,data-cable/autos_bw/auto156_rep02.png,FYS-148,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
156,dataset_yolo/autos_bw/auto156.png,data-cable/autos_bw/auto156_rep03.png,FYS-148,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
156,dataset_yolo/autos_bw/auto156.png,data-cable/autos_bw/auto156_rep04.png,FYS-148,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
156,dataset_yolo/autos_bw/auto156.png,data-cable/autos_bw/auto156_rep05.png,FYS-148,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
156,dataset_yolo/autos_bw/auto156.png,data-cable/autos_bw/auto156_rep06.png,FYS-148,True,0,[0 0 0 ... 0 0 1],[0 0 0 ... 0 0 1]
157,dataset_yolo/autos_bw/auto157.png,data-cable/autos_bw/auto157_rep01.png,BSY.339,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
157,dataset_yolo/autos_bw/auto157.png,data-cable/autos_bw/auto157_rep02.png,BSY.339,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
157,dataset_yolo/autos_bw/auto157.png,data-cable/autos_bw/auto157_rep03.png,BSY.339,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
158,dataset_yolo/autos_bw/auto158.png,data-cable/autos_bw/auto158_rep01.png,RBN787,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
158,dataset_yolo/autos_bw/auto158.png,data-cable/autos_bw/auto158_rep02.png,RBN787,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
158,dataset_yolo/autos_bw/auto158.png,data-cable/autos_bw/auto158_rep03.png,RBN787,False,3,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
158,dataset_yolo/autos_bw/auto158.png,data-cable/autos_bw/auto158_rep04.png,RBN787,True,0,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
96,dataset_yolo/autos_bw/auto096.png,data-cable/autos_bw/auto096_rep09.png,BZH-407,False,1038,[1 0 0 ... 0 0 0],[0 0 0 ... 0 0 0]
158,dataset_yolo/autos_bw/auto158.png,data-cable/autos_bw/auto158_rep05.png,RBN787,False,22,[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0]
